Code,lon,lat
LEUN,9.946604,52.148937
SASK,-106.629623,52.132931
DAS,-106.634178,52.132862
WLK,-122.1371,52.129936
CBS,5.114938,52.093979
IPS,1.150394,52.059863
HFD,-2.717679,52.05473
SWN,0.240302,52.024967
RIN,5.43058,52.013176
BDK,-0.18876,51.989441
WAG,5.675883,51.967367
BIEL,8.579744,51.9645
MSUN,7.612071,51.962399
HIN,-0.26667,51.950001
MSTR,7.58802,51.945942
IPO,5.61502,51.941681
SIMS,-8.3482,51.90218
CHM,-2.077848,51.901333
VGZ,39.65224,51.87577
GLR,-2.24417,51.859791
CARM,-4.31167,51.859169
NMNL,5.870086,51.844742
NBGW,-4.15079,51.84341
MNVD,12.242841,51.831238
UUDE,107.628693,51.819
UUH,107.628693,51.819
GAT,11.284434,51.818924
NPT,-3.91584,51.802204
OLDS,-114.11554,51.785641
AYBY,-0.734963,51.782683
LOD,19.48321,51.776421
ORIS,55.101257,51.77047
FHO,-1.25188,51.75761
OXF,-1.25188,51.75761
BOD,-1.25811,51.754028
SUD,-2.2,51.75
CIR,-1.98333,51.73333
TUVA,94.44926,51.72179
FPRL,-0.372661,51.700036
LSN,-1.1909,51.675858
VORB,39.1992188,51.6725551
TBY,-4.695057,51.672339
TTN,-1.78333,51.650002
VOR,39.995159,51.646698
TTY,-2.16222,51.639439
SWA,-3.938341,51.61759
UCSA,-3.979543,51.609744
CHRG,-0.184187,51.60614
EXN,-1.76136,51.588871
WMW,-0.012875,51.583915
NMBT,5.024635,51.574303
NCLN,-0.19663,51.570595
ESS,7.1373,51.567417
SDN,-1.494722,51.555523
PNL,-0.110877,51.551757
BED,-0.049433,51.547478
SARAT,45.998741,51.543079
SARBG,46.008945,51.537911
GOET,9.93458,51.536678
NCCH,-0.5579,51.521992
SSPW,-0.089623,51.515152
LINN,-0.139327,51.508485
EFM,-0.12883,51.500511
BM,-0.176441,51.495634
OB,6.90265,51.493367
ETON,-0.607661,51.491721
HAL,11.959793,51.488132
WCH,0.096572,51.486526
BBSUK,-3.177393,51.485607
NMW,-3.177393,51.485607
HALN,12.00462,51.48395
BOCH,7.242983,51.483219
K,-0.295703,51.483055
DORT,7.46,51.47995
NCPF,-2.60121,51.460041
BRISTM,-2.605262,51.456139
BRL,-2.600879,51.451547
CON,-2.58333,51.450001
DFD,0.218882,51.443233
SLBI,-0.10551,51.44236
CMBY,-0.461365,51.44194
RDG,-0.950103,51.441102
HNN,-0.061551,51.440784
RNG,-0.942091,51.437623
ENG,-0.58333,51.433331
JESW,-0.21583,51.423882
PG,-0.302436,51.420983
IMI,-0.567405,51.419229
MACO,-1.735762,51.416178
TELY,-0.12435,51.413513
HLMA,-0.2974,51.41259
WLH,-0.2974,51.41259
BEX,-0.20033,51.407669
NCP,-2.859719,51.39815
BATHG,-2.36556,51.37944
BTH,-2.36556,51.37944
CHFD,-0.45,51.366669
WGMM,-2.96778,51.345829
LZ,12.394093,51.33096
WSY,-0.464177,51.317303
KAS,9.449335,51.280769
CBY,1.07648,51.278058
MNE,0.5203,51.276018
LBL,22.54085,51.243431
RTE,-0.203958,51.235027
LTN,-1.983335,51.23333
PPIU,51.354046,51.228173
ILF,-4.125216,51.209258
CMA,-2.45611,51.193062
GLM,14.986657,51.153475
TLS,0.263468,51.133969
WRSL,17.046,51.117058
FKE,1.180999,51.081814
BPL,-4.058343,51.078365
SBY,-1.799856,51.064071
HCMS,-1.319269,51.064024
WTR,-1.314443,51.0584
HSM,-0.33333,51.049999
GENT,3.72207,51.036461
DR,13.723875,51.02873
HILL,-1.455967,51.010113
BMH,-1.279707,50.998856
NKME,11.022542,50.988827
IQW,11.32692,50.983036
ARWESP,4.634028,50.958719
BR,4.319976,50.931194
JE,11.5902,50.92966
STMU,-114.067935,50.922151
UAC,-113.987846,50.916889
KTC,20.65255,50.8829
SLFC,-2.780632,50.854828
MAAS,5.68784,50.844959
BTN,-0.152915,50.837108
LAN,-0.32247,50.828819
BNPL,-0.13947,50.828381
MB,8.769537,50.81588
BRLU,4.381855,50.810081
PMH,-1.097058,50.791455
LIM,15.06611,50.77346
BAIL,2.76133,50.748032
BONN,7.09139,50.725479
NHV,7.08822,50.725151
RAMM,-3.531962,50.725128
BNL,7.17663,50.67524
MUCL,4.62016,50.66647
LAUN,-4.36006,50.63699
KM,15.6053,50.622791
LILLE,3.067911,50.613535
LIP,3.067911,50.613535
BSU,36.580502,50.59095
GI,8.679664,50.586578
LG,5.568112,50.584209
BELZ,35.975361,50.581638
FULD,9.676594,50.563023
LFG,4.696808,50.561378
LIT,14.13285,50.533669
TOR,-3.532013,50.469743
NAM,4.86108,50.465961
CHOM,13.42211,50.458496
USAS,-104.622429,50.449165
KWHU,30.526693,50.442905
KW,30.527124,50.441196
KWHA,30.527124,50.441196
OMJ,15.35062,50.436489
PLYP,-4.138783,50.375044
PLH,-4.14305,50.371529
KOBL,7.559541667,50.3636417
DMTH,-3.5794,50.3522
PUS,-3.98333,50.349998
MGS,18.925381,50.348782
STDCM,-3.652884,50.292638
SCS,-107.785957,50.28418
ABGI,127.5402778,50.2794444
SOSN,19.13656,50.266159
TRU,-5.0541,50.263634
KTU,19.024385,50.254028
CCFHE,-5.22434,50.23315
KMKV,12.882006,50.223953
HR,15.829887,50.21439
SOKO,12.64005,50.17934
ROZ,14.383519,50.161568
FRP,8.658621,50.122482
PR,14.629279,50.122294
PRB,14.412846,50.118141
FR,8.640538,50.116758
OMP,15.12303,50.115608
CNCTC,14.32642,50.092659
KRFB,19.951115,50.082827
PRM,14.426747,50.081062
CHEB,12.370171,50.0797
CMV,4.637896,50.079304
WIES,8.24549,50.075855
PRC,14.41974,50.071247
LBE,33.132768,50.066987
KRAM,19.955,50.065483
KRA,19.957842,50.064141
MP,15.777161,50.041295
SUM,16.953005,50.016567
PRA,14.544417,50.000011
MNHM,8.271309,49.99897
CWU,36.257259,49.996639
MJG,8.232466,49.983082
OVMB,17.461554,49.978851
AND,17.862255,49.945919
OP,17.903641,49.934582
UBT,11.556322,49.923599
MMMN,-97.135536,49.9002
MDNR,-97.257729,49.897968
UWPG,-97.153397,49.890087
LPM,-97.271763,49.887763
DANV,8.64281,49.858459
LWS,24.01748,49.84162
OSM,18.29281,49.835178
LW,24.032056,49.834417
KG,73.166667,49.833333
OSTR,18.262445,49.827088
LWKS,24.02375,49.816392
WIN,-97.133112,49.81061
BCK,30.062843,49.809976
BDPA,22.76088,49.784653
WB,9.93264,49.76474
PL,13.38026,49.744469
CESK,18.590136,49.724258
LEA,-112.848915,49.69746
LRS,-112.845581,49.688061
FMM,18.3468578,49.6870089
HOMP,13.98757,49.68248
CHE,-1.630843,49.642868
LUX,6.13573,49.6099
OLM,17.25703,49.5964408
NJM,18.010944,49.593418
GMNP,-57.923462,49.589508
PWU,34.513721,49.589378
PW,34.561444,49.5835
ER,11.03168,49.581589
OL,17.278959,49.576191
VM,17.966034,49.478539
POLL,8.15034,49.459549
NHG,11.08376,49.450737
ARKH,130.077713,49.420929
HEID,8.669184,49.415154
MJ,15.58923,49.39653
SAAR,7.11097,49.348892
ZTS,19.962749,49.30463
SMB,21.276148,49.292572
YAK,120.73333,49.283329
VYM,16.9970747,49.2765894
SFUV,-122.913197,49.275997
UBC,-123.25,49.264
SOB,14.72083,49.257431
GM,17.66301,49.225422
ZMT,15.872927,49.216236
BRNL,16.614689,49.209106
MALA,-124.011932,49.201271
CN,-0.363437,49.188965
BRNM,16.679131,49.182621
BRNU,16.5697175,49.1782533
TNP,20.277454,49.162323
KHMS,13.55453,49.143421
METZ,6.178195,49.121135
WPH,-113.911537,49.054352
POP,20.2972,49.0536
HNTS,21.499241,49.026619
REG,12.06559,49.017197
KR,8.402801,49.006718
CBFS,14.455074,48.974148
CB,14.47607,48.97274
CDFN,-57.956417,48.953354
SWGC,-57.935874,48.939671
TRE,18.04414,48.89613
JME,11.177996,48.887901
BIF,22.33713,48.8573
MZ,16.045259,48.85667
P,2.35982,48.842178
PAT,2.35982,48.842178
PC,2.35982,48.842178
BMSC,-125.13568,48.83561
MMI,16.636071,48.806293
STU,9.191,48.80368
UM,30.235142,48.768107
VRBG,44.572618,48.764322
HMP,18.641132,48.761726
SOF,30.223467,48.746899
KO,21.23876,48.735619
WWB,-122.487037,48.733945
VSM,21.253351,48.726917
SMBB,19.13736,48.718079
HOH,9.133305,48.715401
NCY,6.155345,48.662819
DIN,-2.050078,48.634377
UU,22.287558,48.620605
STR,7.766771,48.584285
LNAU,39.328259,48.582371
ZV,19.118059,48.570724
FHL,-123.012457,48.546465
MSUNH,-109.690007,48.541284
TUB,9.032574,48.537968
CHER,28.107285,48.537521
UVIC,-123.3116935,48.4634067
SQB,-68.408765,48.461941
DAVFP,-123.398228,48.459192
UQAR,-68.51403,48.453751
HLO,17.796843,48.426064
ULM,9.95828,48.423161
DSU,35.13789,48.42289
ANVL,2.728324,48.421064
V,-123.371384,48.421032
LKHD,-89.289749,48.411728
TUM,11.721885,48.399352
BRE,-4.48923,48.397678
CHAB,135.041443,48.372044
KHA,135.041443,48.372044
NR,18.099035,48.306785
NI,18.091719,48.303333
MTRO,4.07949,48.30067
DP,4.044087,48.296392
MISU,-101.301539,48.246542
WHB,16.337759,48.235046
WUP,16.358709,48.229118
FVCC,-114.329041,48.225903
LTM,18.603039,48.220192
W,16.362471,48.204708
WNLM,15.63304,48.20322
WU,16.384521,48.195267
SAV,17.07493,48.168743
WFBVA,16.31794,48.165665
MSB,11.500749,48.16432
M,11.501296,48.164299
SLO,17.078932,48.146229
BRA,17.112101,48.140259
REN,-1.69978,48.118391
OLYM,-123.432669,48.100958
KRMS,14.125894,48.050308
MELIT,33.784798,48.048676
DNZ,37.80329,48.015978
FB,7.884335,48.00296
FBMN,7.851319,47.993375
LSP,-84.777008,47.987793
LMS,0.208485,47.986946
ORM,1.929018,47.94165
UBU,106.921395,47.922945
GFND,-97.082291,47.922249
UBA,106.882988,47.907974
EGR,20.375411,47.900113
CO,-3.919115,47.869522
SZB,13.038936,47.800541
SZU,13.0442,47.799957
NBSI,16.7663,47.769
UWB,-122.191555,47.763265
PMK,18.12718,47.75742
VBI,19.227789,47.717102
SCH,8.637528,47.708412
KONL,9.174746,47.660225
VAN,-2.75824,47.656219
WTU,-122.304474,47.654602
WTUH,-122.304474,47.654602
SPC,-122.362435,47.650146
