"family","species","lon","lat"
"Malvaceae","Bombax costatum",1.61243,9.32292
"Malvaceae","Bombax costatum",1.61245,9.32329
"Malvaceae","Bombax costatum",1.68089,9.03482
"Malvaceae","Bombax costatum",1.67733,9.0166
"Malvaceae","Bombax costatum",1.61289,9.31417
"Malvaceae","Bombax costatum",1.61252,9.31504
"Malvaceae","Bombax costatum",1.61288,9.30452
"Malvaceae","Bombax costatum",1.61288,9.31483
"Malvaceae","Bombax costatum",1.63111,9.32285
"Malvaceae","Bombax costatum",1.67813,9.01665
"Malvaceae","Bombax costatum",1.63197,9.32319
"Malvaceae","Bombax costatum",1.65176,9.01872
"Malvaceae","Bombax costatum",1.62272,9.32346
"Malvaceae","Bombax costatum",1.63082,9.32332
"Malvaceae","Bombax costatum",1.65268,9.01783
"Malvaceae","Bombax costatum",1.66876,9.02049
"Malvaceae","Bombax costatum",1.66912,9.02143
"Malvaceae","Bombax costatum",1.66941,9.02216
"Malvaceae","Bombax costatum",1.68066,9.03577
"Malvaceae","Bombax costatum",1.66986,9.02075
"Malvaceae","Bombax costatum",1.66967,9.022
"Malvaceae","Bombax costatum",1.68169,9.03495
"Malvaceae","Bombax costatum",1.68327,9.00917
"Malvaceae","Bombax costatum",1.68353,9.01098
"Malvaceae","Bombax costatum",1.68336,9.01074
"Malvaceae","Bombax costatum",1.84903,8.22994
"Malvaceae","Bombax costatum",1.84938,8.22885
"Malvaceae","Bombax costatum",1.68416,8.34184
"Malvaceae","Bombax costatum",1.89284,9.35591
"Malvaceae","Bombax costatum",1.89262,9.35569
"Malvaceae","Bombax costatum",1.89387,9.35605
"Malvaceae","Bombax costatum",1.893,9.35534
"Malvaceae","Bombax costatum",1.74069,9.33336
"Malvaceae","Bombax costatum",1.75983,9.32429
"Malvaceae","Bombax costatum",1.76009,9.32465
"Malvaceae","Bombax costatum",1.936016,7.565895
"Malvaceae","Bombax costatum",1.925016,7.551695
"Malvaceae","Bombax costatum",1.952008,7.595204
"Malvaceae","Bombax costatum",1.956582,7.565864
"Malvaceae","Bombax costatum",1.951616,7.532995
"Malvaceae","Bombax costatum",1.952816,7.547195
"Malvaceae","Bombax costatum",2.151851,11.97
"Malvaceae","Bombax costatum",1.782447,7.560267
"Malvaceae","Bombax costatum",1.798247,7.561307
"Malvaceae","Bombax costatum",1.809047,7.541567
"Malvaceae","Bombax costatum",1.810247,7.555767
"Malvaceae","Bombax costatum",1.800598,7.753434
"Malvaceae","Bombax costatum",1.814798,7.785134
"Malvaceae","Bombax costatum",1.793447,7.574467
"Malvaceae","Bombax costatum",-13.873033,11.711451
"Malvaceae","Bombax costatum",-1.722102,12.794534
"Malvaceae","Bombax costatum",1.243958,10.606833
"Malvaceae","Bombax costatum",-0.533333,11.183333
"Malvaceae","Bombax costatum",-1.589512,12.515314
"Malvaceae","Bombax costatum",-1.950264,12.261168
"Malvaceae","Bombax costatum",1.718071,8.719751
"Malvaceae","Bombax costatum",3.10894,11.717095
"Malvaceae","Bombax costatum",2.5469,12.49974
"Malvaceae","Bombax costatum",-15.823136,13.40714
"Malvaceae","Bombax costatum",1.514543,9.874015
"Malvaceae","Bombax costatum",2.101529,10.122814
"Malvaceae","Bombax costatum",2.100676,10.424698
"Malvaceae","Bombax costatum",1.886709,9.69521
"Malvaceae","Bombax costatum",1.668077,9.173887
"Malvaceae","Bombax costatum",1.890578,9.696697
"Malvaceae","Bombax costatum",1.520979,9.686865
"Malvaceae","Bombax costatum",1.524654,9.688192
"Malvaceae","Bombax costatum",1.650871,10.670621
"Malvaceae","Bombax costatum",1.652587,10.671343
"Malvaceae","Bombax costatum",1.614815,9.147871
"Malvaceae","Bombax costatum",1.643313,10.065662
"Malvaceae","Bombax costatum",1.667706,9.173208
"Malvaceae","Bombax costatum",1.619823,9.149473
"Malvaceae","Bombax costatum",1.671768,9.174896
"Malvaceae","Bombax costatum",1.617242,9.148712
"Malvaceae","Bombax costatum",1.640502,10.057178
"Malvaceae","Bombax costatum",1.616106,9.148138
"Malvaceae","Bombax costatum",1.639985,9.68752
"Malvaceae","Bombax costatum",1.551965,9.198
"Malvaceae","Bombax costatum",1.396624,10.194335
"Malvaceae","Bombax costatum",1.520775,10.300924
"Malvaceae","Bombax costatum",1.548823,9.205284
"Malvaceae","Bombax costatum",1.618387,9.149051
"Malvaceae","Bombax costatum",1.508322,9.492754
